计算元件基本参数及相互连接关系文件											
元件个数（上下游边界不算做计算元件）											
1585											
各类型个数											
渠道	渐变段	倒虹吸	节制闸	分水口							
35	CH35-潦河退水闸-潦河涵洞式渡槽进口	87.971	88.014	17	3	135.042	135.04	143.905	143.903	0.015	
36	CH36-潦河涵洞式渡槽	88.074	88.337	22	0	135.05	135.000	143.050	143.000	0.015	
37	CH37-潦河涵洞式渡槽出口-渠道渐变段起点	88.377	91.500	22	2	134.820	134.693	143.654	143.538	0.015	
38	CH38-渠道渐变段终点-宁西铁路西南联络线涵洞（一）进口渐变段	91.56	92.202	22	3.5	134.693	134.485	143.551	143.523	0.015	
39	CH39-宁西铁路西南联络线涵洞（一）	92.262	92.356	41.4	0	135.986	135.975	143.986	143.975	0.015	
40	CH40-宁西铁路西南联络线涵洞（一）-宁西铁路西南联络线涵洞（二）	92.416	92.606	41.4	0	134.646	134.400	143.458	143.435	0.015	
41	CH41-宁西铁路西南联络线涵洞（二）	92.666	92.951	38.4	0	137.254	137.176	145.254	145.176	0.015	
42	CH42-宁西铁路西南联络线涵洞（二）-渠道渐变段起点	93.011	93.600	38.4	3.5	134.491	134.465	143.350	143.323	0.015	
43	CH43-渠道渐变段终点-渠道渐变段起点	93.650	94.420	14	2	134.465	134.433	143.304	143.252	0.015	
44	CH44-渠道渐变段终点-姜沟分水口	94.45	95.005	22	2.5	134.433	134.424	143.304	143.252	0.015	
45	CH45-姜沟分水口-渠道渐变段起点	95.005	95.270	19.5	2.5	134.424	134.399	143.252	143.243	0.015	
46	CH46-渠道渐变段终点-十二里河进口渐变段	95.3	96.991	19.5	2	134.399	134.229	143.257	143.196	0.015	
47	CH47-十二里河进口渐变段-十二里河渡槽进口节制闸	97.023	97.033	26	0	135.26	135.255	143.260	143.255	0.015	
48	CH48-十二里河渡槽	97.033	97.157	26	0	135.255	135.245	143.177	143.176	0.015	
49	CH49-十二里河出口渐变段-田洼分水口	97.232	98.737	22	2	134.172	134.113	143.172	143.113	0.015	
50	CH50-田洼分水口-渠道渐变段起点	98.737	98.835	22	2	134.113	134.107	142.986	142.950	0.015	
51	CH51-渠道渐变段终点-渠道渐变段起点	98.865	99.595	22	2.5	134.107	134.077	142.955	142.504	0.015	
52	CH52-渠道渐变段终点-娃娃河渠倒虹进口渐变段	99.625	102.671	19.5	2	134.077	133.952	142.855	142.404	0.015	
53	CH53-娃娃河渠倒虹出口渐变段-梅溪河渠倒虹进口渐变段	102.926	103.421	22	0	133.783	133.773 	142.635	142.184	0.015	
54	CH54-梅溪河渠倒虹出口渐变段-大寨分水口	103.699	104.287	22	2	133.583	133.56	142.523	142.513	0.015	
55	CH55-大寨分水口-	104.287	115.24	22	2	133.56	133.122	142.503	142.068	0.015	
56	CH56-白河退水闸-白河渠倒虹进口渐变段	115.24	115.25	21	2	133.122	133.024	142.068	142.068	0.015	
57	CH57-白河倒虹吸出口节制闸-白河渠倒虹出口渐变段	116.446	116.456	26.8	0	131.900	131.900	140.900	140.900	0.015	
58	CH58-白河渠道倒虹出口-白条河渠道倒虹进口	116.477	120.160	21	0	132.424	132.218	141.408	141.255	0.015	
59	CH59-白条河渠倒虹渐变段-渠道渐变段起点	120.423	133.335	21	2.5	132.108	131.459	141.078	140.578	0.015	
60	CH60-渠道渐变段终点-半坡店分水口	133.365	134.91	21	2.5	131.591	131.529	140.578	140.505	0.015	
61	CH61-半坡店分水口-渠道渐变段起点	134.91	135.735	18.5	2.5	131.529	131.495	140.529	140.452	0.015	
62	CH62-渠道渐变段终点-东赵河渠倒虹吸进口	135.765	136.818	18.5	2	131.495	131.381	140.499	140.422	0.015	
63	CH63-东赵河倒虹吸出口节制闸-东赵河渠倒虹出口渐变段	137.112	137.133	27.6	0	130.670	130.670	139.670	139.670	0.015	
64	CH64-东赵河渠道倒虹出口-渠道渐变段起点	137.193	138.315	21	2.5	131.233	131.187	140.183	139.892	0.015	
65	CH65-渠道渐变段终点-渠道渐变段起点	138.345	141.185	21	2.5	131.187	131.072	139.897	139.863	0.015	
66	CH66-渠道渐变段终点-清河退水闸	141.215	147.56	18.5	2.25	131.072	130.821	139.856	139.771	0.015	
67	CH67-清河退水闸-清河渠道倒虹进口	147.56	147.607	20	2.25	130.821	130.725	139.771	139.771	0.015	
68	CH68-清河渠道倒虹出口-潘河渠道倒虹进口	147.911	149.955	20	0	130.609	130.462	139.593	139.512	0.015	
69	CH69-潘河渠倒虹出口-大营分水口	150.264	151.414	21	2	130.327	130.281	139.324	139.280	0.015	
70	CH70-大营分水口-十里庙分水口	151.414	156.815	21	2	130.281	130.065	139.280	139.088	0.015	
71	CH71-十里庙分水口-渠道渐变段起点	156.815	157.385	21	2	130.065	130.041	139.088	139.069	0.015	
72	CH72-渠道渐变段终点-渠道渐变段起点	157.415	158.685	21	2	130.041	129.989	139.069	139.047	0.015	
73	CH73-渠道渐变段终点-渠道渐变段起点	158.715	158.935	21	2	129.989	129.974	139.046	138.953	0.015	
74	CH74-渠道渐变段终点-黄金河渠道倒虹进口	158.965	159.720	16	2	129.974	129.923	138.953	138.863	0.015	
75	CH75-黄金河倒虹吸出口节制闸-黄金河渠倒虹出口渐变段	159.894	159.914	27.6	0	129.240	129.240	138.240	138.240	0.015	
76	CH76-黄金河渠道倒虹出口-渠道渐变段起点	159.982	162.485	17	3.25	129.774	129.673	138.773	138.694	0.015	
77	CH77-渠道渐变段终点-渠道渐变段起点	162.515	164.585	17	3.25	129.673	129.588	138.678	138.563	0.015	
78	CH78-渠道渐变段终点-脱脚河渠道倒虹进口	164.635	168.428	14.5	2	129.588	129.375	138.568	138.433	0.015	
79	CH79-脱脚河渠道倒虹出口-渠道渐变段起点	168.755	172.185	21	3.25	129.237	129.097	138.253	138.117	0.015	
80	CH80-渠道渐变段终点-渠道渐变段起点	172.245	175.090	21	3.25	129.097	128.981	138.131	138.028	0.015	
81	CH81-渠道渐变段终点-贾河退水闸	175.140	177.622	14.5	2	128.981	128.884	138.009	137.913	0.015	
82	CH82-贾河退水闸-贾河涵洞式渡槽进口	177.622	177.664	21	2	128.884	128.880	137.913	137.913	0.015	
83	CH83-贾河涵洞式渡槽	177.704	177.974	26	0	130.000	129.980	138.000	137.980	0.015	
84	CH84-贾河涵洞式渡槽出口-草墩河涵洞式渡槽进口	178.034	181.693	21	2	128.685	128.539	137.688	137.539	0.015	
85	CH85-草墩河涵洞式渡槽进口-草墩河倒虹吸进口节制闸	181.726	181.736	26	0	129.560	129.560	138.560	138.560	0.015	
86	CH86-草墩河涵洞式渡槽	181.736	181.964	26	0	129.560	129.540	137.560	137.540	0.015	
87	CH87-草墩河涵洞式渡槽出口-渠道渐变段起点	182.024	183.64	25.5	2.5	128.869	128.803	137.369	137.303	0.015	
88	CH88-渠道渐变段终点-渠道渐变段起点	183.67	185.225	25.5	2.5	128.803	128.740	137.303	137.240	0.015	
89	CH89-渠道渐变段终点-渠道渐变段起点	185.255	190.885	23	2	128.740	128.513	137.240	137.013	0.015	
90	CH90-渠道渐变段终点-渠道渐变段起点	190.915	191.090	25.5	0.5	128.513	128.501	137.013	137.001	0.015	
91	CH91-渠道渐变段终点-渠道渐变段起点	191.12	195.477	28	2	128.501	128.327	137.001	136.827	0.015	
92	CH92-辛庄分水口-渠道渐变段起点	195.477	198.245	25.5	2	128.327	128.215	136.827	136.715	0.015	
93	CH93-渠道渐变段终点-渠道渐变段起点	198.275	200.305	24.5	2.75	128.215	128.133	136.715	136.633	0.015	
94	CH94-渠道渐变段终点-渠道渐变段起点	200.335	203.195	20.5	2	128.133	128.016	136.633	136.516	0.015	
95	CH95-渠道渐变段终点-渠道渐变段起点	203.255	204.235	24.5	3.5	128.016	127.976	136.516	136.476	0.015	
96	CH96-渠道渐变段终点-渠道渐变段起点	204.265	207.065	17	3	127.976	127.862	136.476	136.362	0.015	
97	CH97-渠道渐变段终点-府君庙河渠倒虹进口	207.105	207.337	19.5	2	127.862	127.856	136.362	136.356	0.015	
98	CH98-府君庙河渠倒虹出口-澧河退水闸	207.688	209.335	24.5	2	127.661	127.597	136.161	136.097	0.015	
99	CH99-澧河退水闸-澧河梁式渡槽进口	209.335	209.384	24.5	2	127.597	127.59	136.097	136.090	0.015	
100	CH100-澧河梁式渡槽进口-澧河渡槽进口节制闸	209.423	209.433	20	0	128	128	134.920	134.920	0.015	
101	CH101-澧河梁式渡槽	209.433	209.99	20	0	128.000	127.850	134.920	134.026	0.015	
102	CH102-澧河梁式渡槽出口-渠道渐变段起点	210.060	212.200	24.5	3	127.118	127.035	135.618	135.535	0.015	
103	CH103-渠道渐变段终点-渠道渐变段起点	212.240	213.240	24.5	3	127.035	126.993	135.535	135.493	0.015	
104	CH104-渠道渐变段终点-渠道渐变段起点	213.280	215.761	19.5	3.5	126.993	126.89	135.493	135.390	0.015	
105	CH105-渠道渐变段终点-渠道渐变段起点	215.811	215.971	17	2	126.89	126.884	135.390	135.384	0.015	
106	CH106-渠道渐变段终点-渠道渐变段起点	216.011	216.350	24.5	3	126.884	126.872	135.384	135.372	0.015	
107	CH107-渠道渐变段终点-灰河渠道倒虹进口	216.385	216.694	19.5	2	126.872	126.86	135.372	135.360	0.015	
108	CH108-灰河倒虹吸出口渐变段-渠道渐变段起点	217.050	219.171	24.5	2.5	126.657	126.574	135.157	135.074	0.015	
109	CH109-渠道渐变段终点-渠道渐变段起点	219.191	221.111	24.5	2.5	126.574	126.494	135.074	134.994	0.015	
110	CH110-渠道渐变段终点-澎河退水闸	221.126	231.949	22	2	126.494	126.06	134.994	134.560	0.015	
111	CH111-澎河退水闸-澎河分水口	231.949	231.956	24.5	2	126.06	126.06	134.560	134.560	0.015	
112	CH112-澎河分水口-澎河渡槽进口	231.956	232.002	24.5	2	126.06	126.05	134.560	134.550	0.015	
113	CH113-澎河渡槽进口-澎河渡槽进口节制闸	232.036	232.046	22	0	127	127	135.000	135.000	0.015	
114	CH114-澎河涵洞式渡槽	232.046	232.243	22	0	127.000	126.945	135.000	134.945	0.015	
115	CH115-澎河渡槽出口-渠道渐变段起点	232.282	233.719	24.5	2.5	125.83	125.773	134.000	133.829	0.015	
116	CH116-渠道渐变段终点-渠道渐变段起点	233.734	235.019	24.5	2.5	125.773	125.721	134.389	134.330	0.015	
117	CH117-渠道渐变段终点-淝河倒虹吸进口	235.031	238.135	22	2	125.721	125.601	134.334	134.288	0.015	
118	CH118-淝河渠道倒虹出口-沙河退水闸	238.539	241.71	25	2	126.102	126.002	133.972	133.885	0.015	
119	CH119-沙河退水闸-沙河渡槽进口	241.71	241.880	25	2	126.002	126.002	133.885	133.879	0.015	
120	CH120-沙河梁式渡槽进口-沙河渡槽进口节制闸	241.925	241.935	32	2	126.002	126.002	133.877	134.618	0.015	
121	CH121-沙河梁式渡槽进口箱基渡槽	241.935	243.567	32	0	126.002	125.677	133.402	133.077	0.015	
122	CH122-沙河梁式渡槽出口箱基渡槽	243.627	247.161	26.5	0	125.281	125.281	132.681	132.681	0.015	
123	CH123-大郎河渡槽	247.261	249.081	32	0	124.605	124.549	132.405	132.349	0.015	
124	CH124-鲁山坡落地槽	249.236	250.551	27.65	0	124.120	123.575	131.920	131.375	0.015	
125	CH125-鲁山坡落地槽-张村分水口	250.601	253.372	25	2	123.491	123.397	131.911	131.817	0.015	
126	CH126-张村分水口-渠道渐变段起点	253.372	256.023	25	2	123.397	123.295	131.817	131.715	0.015	
127	CH127-渠道渐变段终点-渠道渐变段起点	256.053	256.414	25	2.5	123.295	123.280	131.715	131.700	0.015	
128	CH128-渠道渐变段起点-马庄分水口	256.439	259.027	22.5	2	123.280	123.180	131.700	131.600	0.015	
129	CH129-马庄分水口门-渠道渐变段起点	259.027	259.551	25	2	123.180	123.159	131.600	131.579	0.015	
130	CH130-渠道渐变段终点-渠道渐变段起点	259.581	260.297	25	0.5	123.159	123.133	131.579	131.553	0.015	
131	CH131-渠道渐变段终点-渠道渐变段起点	260.337	260.995	33.5	2	123.133	123.104	131.553	131.524	0.015	
132	CH132-渠道渐变段终点-应河渠道倒虹吸进口	261.010	261.862	25	2.25	123.104	123.054	131.524	131.474	0.015	
133	CH133-应河渠道倒虹吸出口-渠道渐变段起点	262.129	262.266	25	2.5	122.951	122.946	131.371	131.366	0.015	
134	CH134-渠道渐变段终点-渠道渐变段起点	262.281	263.946	25	2.5	122.946	122.881	131.366	131.301	0.015	
135	CH135-渠道渐变段终点-宝丰编组站暗渠进口	263.961	264.565	22.5	0.4	122.881	122.858	131.301	131.278	0.015	
136	CH136-宝丰编组站暗渠	264.610	264.733	27	0	122.858	122.843	131.278	131.263	0.015	
137	CH137-宝丰编组站出口-渠道渐变段起点	264.802	266.163	22.5	2.5	122.758	122.705	131.178	131.125	0.015	
138	CH138-渠道渐变段终点-高庄分水口	266.178	266.263	22.5	2.5	122.705	122.701	131.125	131.121	0.015	
139	CH139-高庄分水口-玉带河渠道倒虹吸进口	266.263	266.405	22.5	2.5	122.701	122.694	131.121	131.114	0.015	
140	CH140-玉带河倒虹吸出口节制闸-玉带河倒虹吸出口	266.615	266.659	28	0	122.564	122.564	130.994	130.801	0.015	
141	CH141-玉带河渠道倒虹吸出口-净肠河渠道倒虹吸进口	266.724	267.970	24.5	0	122.564	122.505	130.798	130.758	0.015	
142	CH142-净肠河渠道倒虹吸出口-渠道渐变段起点	268.444	269.700	21	2.25	122.33	122.281	130.760	130.711	0.015	
143	CH143-渠道渐变段终点-渠道渐变段起点	269.715	270.442	21	2.25	122.281	122.253	130.711	130.683	0.015	
144	CH144-渠道渐变段终点-渠道渐变段起点	270.457	271.545	23	2	122.253	122.21	130.683	130.640	0.015	
145	CH145-渠道渐变段终点-渠道渐变段起点	271.560	273.927	24.5	2.5	122.21	122.119	130.640	130.549	0.015	
146	CH146-渠道渐变段终点-渠道渐变段起点	273.942	275.143	22	2.75	122.119	122.072	130.549	130.502	0.015	
147	CH147-渠道渐变段终点-渠道渐变段起点	275.158	275.669	21	2.25	122.072	122.052	130.502	130.482	0.015	
148	CH148-渠道渐变段终点-石河倒虹吸进口	275.684	276.609	23	2	122.052	122.016	130.482	130.446	0.015	
149	CH149-石河渠道倒虹吸出口-北汝河退水闸	276.976	279.251	24.5	2	121.847	121.773	130.248	130.166	0.015	
150	CH150-北汝河退水闸-北汝河渠道倒虹吸进口	279.251	279.295	24.5	2	121.773	121.771	130.166	130.164	0.015	
151	CH151-北汝河倒虹吸出口节制闸-北汝河倒虹吸出口	280.504	280.528	28	2	121.847	121.847	129.647	129.647	0.015	
152	CH152-北汝河渠道倒虹吸出口-青龙河渠道倒虹吸进口	280.583	285.111	24.5	0	118.447	118.3	126.877	126.730	0.015	
153	CH153-青龙河渠道倒虹吸出口-赵庄分水口	285.398	290.077	24.5	2	120.954	120.92	129.374	129.340	0.015	
154	CH154-赵庄分水口-肖河涵洞式渡槽进口	290.077	296.695	24.5	2	120.92	120.737	129.340	129.157	0.015	
155	CH155-肖河涵洞式渡槽	296.750	296.87	24	0	120.737	120.717	129.157	129.137	0.015	
156	CH156-肖河涵洞式渡槽出口-渠道渐变段起点	296.945	298.336	24.5	2.75	120.42	120.365	128.840	128.785	0.015	
157	CH157-渠道渐变段终点-渠道渐变段起点	298.356	298.926	24.5	2.75	120.365	120.341	128.785	128.761	0.015	
158	CH158-渠道渐变段终点-渠道渐变段起点	298.941	299.888	19.5	3	120.341	120.300	128.761	128.720	0.015	
159	CH159-渠道渐变段终点-兰河退水闸	299.913	300.588	18.5	2	120.300	120.271	128.720	128.691	0.015	
160	CH160-兰河退水闸-兰河涵洞式渡槽进口	300.588	300.640	23	2	120.271	120.267	128.691	128.687	0.015	
161	CH161-兰河进口-兰河涵洞进口节制闸	300.661	300.671	24	0	120.267	120.483	128.684	128.900	0.015	
162	CH162-兰河涵洞式渡槽	300.671	300.795	24	0	120.483	120.461	128.483	128.167	0.015	
163	CH163-兰河涵洞式渡槽出口-渠道渐变段起点	300.870	302.577	23	3.5	120.17	120.099	128.590	128.519	0.015	
164	CH164-渠道渐变段终点-渠道渐变段起点	302.617	304.690	23	3.5	120.099	120.011	128.519	128.431	0.015	
165	CH165-渠道渐变段终点-渠道渐变段起点	304.720	306.619	16	2	120.011	119.937	128.431	128.357	0.015	
166	CH166-渠道渐变段终点-渠道渐变段起点	306.654	307.838	24.5	3.25	119.937	119.89	128.357	128.310	0.015	
167	CH167-渠道渐变段终点-宴窑分水口	307.868	308.844	18.5	2	119.89	119.852	128.310	128.272	0.015	
168	CH168-宴窑分水口-禹州矿区事故控制闸进口	308.844	314.213	24.5	2	119.852	119.62	128.272	128.040	0.015	
169	CH169-禹州矿区事故控制闸	314.253	314.271	36	0	119.62	119.62	128.040	128.040	0.015	
170	CH170-禹州矿区事故控制闸出口-渠道渐变段起点	314.321	317.267	24.5	2.5	119.593	119.479	128.013	127.899	0.015	
171	CH171-渠道渐变段终点-渠道渐变段起点	317.282	318.532	24.5	2.5	119.479	119.43	127.899	127.850	0.015	
172	CH172-渠道渐变段终点-渠道渐变段起点	318.552	320.166	22	3	119.43	119.367	127.850	127.787	0.015	
173	CH173-渠道渐变段终点-任坡分水口门	320.181	322.924	19.5	2	119.367	119.25	127.787	127.670	0.015	
174	CH174-任坡分水口门-颖河退水闸	322.924	326.967	24.5	2	119.25	119.017	127.670	127.437	0.015	
175	CH175-颖河退水闸-颖河渠道倒虹吸进口	326.967	327.349	24.5	2	119.017	118.995	127.437	127.415	0.015	
176	CH176-颍河倒虹吸出口节制闸-颍河倒虹吸出口	327.42	327.746	28	0	118.912	118.912	127.336	127.423	0.015	
177	CH177-颖河倒虹吸出口-小南河倒虹吸进口	327.801	336.883	25.5	0	118.912	118.389	127.410	127.078	0.015	
178	CH178-小南河倒虹吸出口-孟坡分水口	337.147	338.15	23	2	118.443	118.382	126.863	126.802	0.015	
179	CH179-孟坡分水口门-渠道渐变段起点	338.15	341.659	23.5	2	118.382	118.258	126.802	126.678	0.015	
180	CH180-渠道渐变段终点-石良河倒虹吸进口	341.674	343.371	23.5	2.5	118.258	118.198	126.678	126.618	0.015	
181	CH181-石良河渠道倒虹吸出口-渠道渐变段起点	343.668	344.153	21	2	118.074	118.044	126.524	126.494	0.015	
182	CH182-渠道渐变段终点-渠道渐变段起点	344.168	347.026	21	2	118.044	117.933	126.494	126.383	0.015	
183	CH183-渠道渐变段终点-小洪河渠道倒虹吸进口	347.041	348.698	23.5	2.25	117.933	117.869	126.383	126.319	0.015	
184	CH184-小洪河倒虹吸出口节制闸-小洪河倒虹吸出口	348.873	348.897	28	0	117.760	117.760	126.220	126.312	0.015	
185	CH185-小洪河渠道倒虹吸出口-洼李分水口	348.947	353.081	23.5	2	117.76	117.579	126.210	126.029	0.015	
186	CH186-洼李分水口-沂水河退水闸	353.081	359.198	23.5	2	117.579	117.354	126.029	125.804	0.015	
187	CH187-沂水河退水闸-沂水河倒虹吸进口	359.198	359.59	23.5	2	117.354	117.34	125.804	125.790	0.015	
188	CH188-沂水河倒虹吸出口-渠道渐变段起点	359.989	361.336	23.5	2.5	117.171	117.107	125.621	125.557	0.015	
189	CH189-渠道渐变段终点-渠道渐变段起点	361.366	362.854	23.5	2.5	117.107	117.049	125.557	125.499	0.015	
190	CH190-渠道渐变段终点-双洎河支渡槽进口	362.879	366.979	21	2	117.049	116.889	125.499	125.339	0.015	
191	CH191-双洎河支渡槽	367.029	367.249	28	0	117.295	117.267	125.745	125.717	0.015	
192	CH192-双洎河支渡槽出口-新商铁路倒虹吸进口	367.304	368.238	23.5	0	116.782	116.663	125.232	125.113	0.015	
193	CH193-新商铁路倒虹吸出口-双洎河退水闸	368.505	370.938	23.5	2	116.626	116.539	125.076	124.989	0.015	
194	CH194-双洎河退水闸-双洎河渡槽进口	370.938	371.004	23.5	2	116.539	116.537	124.989	124.987	0.015	
195	CH195-双洎河渡槽进口-双洎河渡槽进口节制闸	371.069	371.079	28	0	116.723	116.723	123.723	123.723	0.015	
196	CH196-双洎河渡槽	371.079	372.076	28	0	116.723	116.610	123.723	123.487	0.015	
197	CH197-双洎河渡槽出口-新密铁路倒虹吸进口	372.126	372.452	23.5	0	116.298	116.261	124.748	124.711	0.015	
198	CH198-新密铁路倒虹吸出口-李垌分水口	372.719	375.297	23.5	2	116.166	116.055	124.596	124.485	0.015	
199	CH199-李垌分水口门-渠道渐变段起点	375.297	379.166	23.5	2	116.055	115.906	124.485	124.336	0.015	
200	CH200-渠道渐变段终点-渠道渐变段起点	379.181	379.767	23.5	2.5	115.906	115.881	124.336	124.311	0.015	
201	CH201-渠道渐变段终点-渠道渐变段起点	379.797	382.307	19.5	3.5	115.881	115.775	124.311	124.205	0.015	
202	CH202-渠道渐变段终点-渠道渐变段起点	382.322	383.89	15	3.25	115.775	115.709	124.205	124.139	0.015	
203	CH203-渠道渐变段终点-梅河倒虹吸进口	383.905	385.075	16	2.75	115.709	115.66	124.139	124.090	0.015	
204	CH204-梅河倒虹吸出口节制闸-梅河倒虹吸出口	385.306	385.349	28	0	115.521	115.521	123.951	123.951	0.015	
205	CH205-梅河倒虹吸出口-渠道渐变段起点	385.424	386.516	18.5	2.75	115.521	115.478	123.951	123.908	0.015	
206	CH206-渠道渐变段终点-渠道渐变段起点	386.531	389.234	18.5	2.75	115.478	115.374	123.908	123.804	0.015	
207	CH207-渠道渐变段终点-渠道渐变段起点	389.249	392.496	19.5	3	115.374	115.248	123.804	123.678	0.015	
208	CH208-渠道渐变段终点-渠道渐变段起点	392.511	394.077	18.5	2.5	115.248	115.187	123.678	123.617	0.015	
209	CH209-渠道渐变段终点-渠道渐变段起点	394.092	394.686	21	2	115.187	115.164	123.617	123.594	0.015	
210	CH210-渠道渐变段终点-渠道渐变段起点	394.701	396.620	23.5	2.5	115.164	115.09	123.594	123.520	0.015	
211	CH211-渠道渐变段终点-渠道渐变段起点	396.635	397.760	21	3	115.09	115.046	123.520	123.476	0.015	
212	CH212-渠道渐变段终点-渠道渐变段起点	397.775	398.376	18.5	2.75	115.046	115.022	123.476	123.452	0.015	
213	CH213-渠道渐变段终点-渠道渐变段起点	398.391	399.506	19.5	3	115.022	114.979	123.452	123.409	0.015	
214	CH214-渠道渐变段终点-渠道渐变段起点	399.521	400.114	18.5	2.75	114.979	114.955	123.409	123.385	0.015	
215	CH215-渠道渐变段终点-渠道渐变段起点	400.134	401.592	19.5	3.5	114.955	114.898	123.385	123.328	0.015	
216	CH216-渠道渐变段终点-丈八沟倒虹吸进口	401.607	402.348	16	3	114.898	114.869	123.328	123.299	0.015	
217	CH217-丈八沟倒虹吸出口节制闸-丈八沟倒虹吸出口	402.485	402.527	28	0	114.760	114.760	123.367	123.286	0.015	
218	CH218-丈八沟倒虹吸出口-渠道渐变段起点	402.602	403.547	18.5	3	114.76	114.723	123.220	123.183	0.015	
219	CH219-渠道渐变段终点-渠道渐变段起点	403.562	404.444	18.5	3	114.723	114.688	123.183	123.148	0.015	
220	CH220-渠道渐变段终点-小河刘分水口	404.469	405.472	16	2.5	114.688	114.649	123.148	123.109	0.015	
221	CH221-小河刘分水口-渠道渐变段起点	405.472	405.531	21	2.5	114.649	114.647	123.109	123.107	0.015	
222	CH222-渠道渐变段终点-渠道渐变段起点	405.546	406.428	21	2.5	114.647	114.612	123.107	123.072	0.015	
223	CH223-渠道渐变段终点-渠道渐变段起点	406.443	407.014	20	3	114.612	114.589	123.072	123.049	0.015	
224	CH224-渠道渐变段终点-渠道渐变段起点	407.029	408.193	17.5	2.5	114.589	114.544	123.049	123.004	0.015	
225	CH225-渠道渐变段终点-渠道渐变段起点	408.213	409.394	20	3.25	114.544	114.498	123.004	122.958	0.015	
226	CH226-渠道渐变段终点-渠道渐变段起点	409.409	410.581	16.5	2.75	114.498	114.452	122.958	122.912	0.015	
227	CH227-渠道渐变段终点-渠道渐变段起点	410.601	411.866	18.5	3.5	114.452	114.403	122.912	122.863	0.015	
228	CH228-渠道渐变段终点-渠道渐变段起点	411.881	413.025	15	3.25	114.403	114.358	122.863	122.818	0.015	
229	CH229-渠道渐变段终点-渠道渐变段起点	413.040	414.961	16.5	3.5	114.358	114.284	122.818	122.744	0.015	
230	CH230-渠道渐变段终点-渠道渐变段起点	414.976	415.616	15	3	114.284	114.259	122.744	122.719	0.015	
231	CH231-渠道渐变段终点-渠道渐变段起点	415.631	416.171	17.5	3.5	114.259	114.237	122.719	122.697	0.015	
232	CH232-渠道渐变段终点-渠道渐变段起点	416.186	418.367	15	3	114.237	114.153	122.697	122.613	0.015	
233	CH233-渠道渐变段终点-潮河倒虹吸进口	418.382	419.131	17.5	3.5	114.153	114.124	122.613	122.584	0.015	
234	CH234-潮河倒虹吸出口节制闸-潮河倒虹吸出口	419.371	419.395	28	0	114.038	114.038	122.530	122.359	0.012	
235	CH235-潮河倒虹吸出口-魏河倒虹吸进口	419.470	424.415	17.5	0	114.038	114.038	122.530	122.359	0.012	
236	CH236-魏河倒虹吸出口-渠道渐变段起点	424.764	425.016	18.5	3	113.675	113.654	122.155	122.134	0.012	
237	CH237-渠道渐变段终点-十八里河退水闸	425.031	425.499	18.5	3	113.654	113.625	122.134	122.105	0.012	
238	CH238-十八里河退水闸-十八里河倒虹吸进口	425.499	426.705	17.5	3	113.625	113.550	122.105	122.030	0.012	
239	CH239-十八里河渠道倒虹吸出口-刘湾分水口	427.089	427.528	18.5	2.75	113.451	113.445	121.941	121.935	0.012	
240	CH240-刘湾分水口-渠道渐变段起点	427.528	428.424	18.5	2.75	113.445	113.388	121.935	121.878	0.012	
241	CH241-渠道渐变段终点-金水河倒虹吸进口	428.439	435.365	18.5	3	113.388	113.033	121.878	121.523	0.012	
242	CH242-金水河倒虹吸出口节制闸-金水河倒虹吸出口	435.635	435.659	28	0	113.033	113.033	121.533	121.533	0.015	
243	CH243-金水河渠道倒虹吸出口-渠道渐变段起点	435.729	436.454	17.5	3.25	113.033	112.952	121.533	121.452	0.015	
244	CH244-渠道渐变段终点-密垌分水口	436.469	436.999	17.5	3.25	112.952	113.057	121.452	121.557	0.015	
245	CH245-密垌分水口-渠道渐变段起点	436.999	437.688	13.5	3.25	113.057	112.898	121.557	121.398	0.015	
246	CH246-渠道渐变段终点-渠道渐变段起点	437.703	438.830	13.5	3.5	112.898	112.849	121.398	121.349	0.015	
247	CH247-渠道渐变段终点-渠道渐变段起点	438.845	439.506	12	3.25	112.849	112.819	121.349	121.319	0.015	
248	CH248-渠道渐变段终点-渠道渐变段起点	439.521	440.619	13.5	3	112.819	112.769	121.319	121.269	0.015	
249	CH249-渠道渐变段终点-贾峪河退水闸	440.649	442.038	14.5	2	112.769	112.709	121.269	121.209	0.015	
250	CH250-贾峪河退水闸-须水河倒虹吸进口	442.038	442.145	19.5	2	112.709	112.704	121.209	121.204	0.015	
251	CH251-中原西路分水口-渠道渐变段起点	442.145	442.203	19.5	2	112.704	112.701	121.204	121.201	0.015	
252	CH252-渠道渐变段终点-须水河渠道倒虹吸进口	442.219	446.817	19.5	2	112.701	112.463	121.201	120.963	0.015	
253	CH253-须水河倒虹吸出口节制闸-须水河渠道倒虹吸出口	447.09	447.118	28	0	112.373	112.373	120.958	120.884	0.015	
254	CH254-须水河渠道倒虹吸出口-渠道渐变段起点	447.158	448.839	17.5	2.5	112.373	112.299	120.958	120.884	0.015	
255	CH255-渠道渐变段终点-渠道渐变段起点	448.869	451.652	17.5	2.5	112.299	112.174	120.884	120.761	0.015	
256	CH256-渠道渐变段终点-前蒋寨分水口	451.677	454.155	15	2	112.174	112.074	120.761	120.597	0.015	
257	CH257-前蒋寨分水口-索河退水闸	454.155	459.767	18	2	112.074	111.826	120.463	120.314	0.015	
258	CH258-索河退水闸-索河涵洞式渡槽进口	459.767	459.804	18	2	111.826	111.822	120.314	120.314	0.015	
